  0.0, 15.4, 15.7, 22.8 
  0.5, 15.4, 15.8, 22.8 
  1.0, 15.4, 15.7, 22.8 
  1.5, 15.3, 15.6, 22.8 
  2.0, 15.4, 15.6, 22.8 
  2.5, 15.4, 15.6, 22.8 
  3.0, 15.4, 15.6, 22.8 
  3.5, 15.4, 15.7, 22.8 
  4.1, 15.3, 15.6, 22.8 
  4.6, 15.3, 15.6, 22.8 
  5.1, 15.3, 15.5, 22.8 
  5.6, 15.4, 15.6, 22.8 
  6.1, 15.3, 15.6, 22.8 
  6.6, 15.3, 15.5, 22.8 
  7.1, 15.3, 15.5, 22.7 
  7.6, 15.3, 15.5, 22.8 
  8.1, 15.4, 15.7, 22.8 
  8.6, 15.2, 15.5, 22.8 
  9.1, 15.2, 15.5, 22.8 
  9.6, 15.3, 15.5, 22.7 
 10.1, 15.4, 15.5, 22.8 
 10.7, 15.3, 15.5, 22.7 
 11.2, 15.4, 15.6, 22.8 
 11.7, 15.3, 15.6, 22.7 
 12.2, 15.3, 15.5, 22.7 
 12.7, 15.3, 15.5, 22.6 
 13.2, 15.3, 15.5, 22.6 
 13.7, 15.3, 15.6, 22.7 
 14.2, 15.2, 15.5, 22.6 
 14.7, 15.3, 15.5, 22.6 
 15.2, 15.3, 15.7, 22.7 
 15.7, 15.3, 15.6, 22.6 
 16.2, 15.2, 15.6, 22.6 
 16.7, 15.3, 15.8, 22.6 
 17.2, 15.2, 15.6, 22.7 
 17.8, 15.2, 15.6, 22.6 
 18.3, 15.2, 15.6, 22.6 
 18.8, 15.2, 15.6, 22.6 
 19.3, 15.2, 15.6, 22.7 
 19.8, 15.2, 15.6, 22.6 
 20.3, 15.2, 15.7, 22.6 
 20.8, 15.2, 15.7, 22.7 
 21.3, 15.2, 15.6, 22.7 
 21.8, 15.1, 15.6, 22.6 
 22.3, 15.2, 15.7, 22.7 
 22.8, 15.2, 15.6, 22.6 
 23.3, 15.2, 15.6, 22.6 
 23.8, 15.2, 15.7, 22.7 
 24.3, 15.2, 15.6, 22.6 
 24.9, 15.2, 15.6, 22.6 
 25.4, 15.2, 15.7, 22.7 
 25.9, 15.1, 15.7, 22.6 
 26.4, 15.2, 15.6, 22.6 
 26.9, 15.2, 15.6, 22.6 
 27.4, 15.2, 15.6, 22.6 
 27.9, 15.2, 15.6, 22.6 
 28.4, 15.2, 15.5, 22.6 
 28.9, 15.2, 15.6, 22.6 
 29.4, 15.1, 15.6, 22.5 
 29.9, 15.2, 15.6, 22.6 
 30.5, 15.1, 15.5, 22.6 
 31.0, 15.1, 15.5, 22.6 
 31.5, 15.0, 15.4, 22.5 
 32.0, 15.2, 15.4, 22.5 
 32.5, 15.2, 15.4, 22.5 
 33.0, 15.1, 15.4, 22.6 
 33.5, 15.2, 15.4, 22.6 
 34.0, 15.2, 15.4, 22.5 
 34.5, 15.2, 15.4, 22.6 
 35.0, 15.2, 15.4, 22.5 
 35.5, 15.1, 15.4, 22.5 
 36.0, 15.3, 15.4, 22.5 
 36.5, 15.2, 15.6, 22.5 
 37.1, 15.2, 15.5, 22.5 
 37.6, 15.2, 15.5, 22.5 
 38.1, 15.3, 15.6, 22.5 
 38.6, 15.2, 15.6, 22.5 
 39.1, 15.2, 15.6, 22.5 
 39.6, 15.2, 15.7, 22.6 
 40.1, 15.1, 15.5, 22.4 
